Date,Open,High,Low,Close,Adj Close,Volume
2016-05-03,0.539843,0.573437,0.526718,0.538906,0.335990,13177600
2016-05-04,0.546875,0.546875,0.500781,0.500781,0.312221,15705600
2016-05-05,0.502343,0.515625,0.445312,0.445312,0.277638,11046400
2016-05-06,0.515625,0.565937,0.515625,0.531250,0.331217,28140800
2016-05-09,0.530156,0.551250,0.522500,0.547656,0.341446,9158400
2016-05-10,0.548750,0.554375,0.540625,0.546875,0.340959,4070400
2016-05-11,0.547656,0.553281,0.543125,0.551562,0.343881,3436800
2016-05-12,0.552187,0.552187,0.539062,0.539062,0.336088,18694400
2016-05-13,0.531250,0.539843,0.523437,0.525468,0.327612,5478400
2016-05-16,0.514687,0.537031,0.514687,0.532500,0.331996,5158400
2016-05-17,0.530781,0.540625,0.522968,0.534531,0.333263,6969600
2016-05-18,0.535156,0.548437,0.529687,0.544218,0.339302,3545600
2016-05-19,0.544218,0.548125,0.535312,0.538906,0.335990,3507200
2016-05-20,0.535781,0.546875,0.534218,0.546875,0.340959,6707200
2016-05-23,0.546875,0.546875,0.525156,0.527343,0.328781,3577600
2016-05-24,0.532812,0.543437,0.519531,0.540000,0.336672,5548800
2016-05-25,0.543593,0.550000,0.531250,0.531250,0.331217,2425600
2016-05-27,0.527343,0.537500,0.525000,0.525000,0.327320,4499200
2016-05-30,0.525000,0.538593,0.516875,0.538593,0.335795,6176000
2016-05-31,0.533593,0.543125,0.531250,0.543125,0.338621,1728000
2016-06-01,0.538593,0.542968,0.528281,0.528593,0.329561,8556800
2016-06-02,0.529687,0.541093,0.527343,0.541093,0.337354,9081600
2016-06-03,0.538593,0.546718,0.527812,0.546718,0.340861,18835200
2016-06-06,0.542187,0.583281,0.541250,0.582812,0.363364,15174400
2016-06-07,0.580937,0.594531,0.576093,0.594531,0.370671,14355200
2016-06-08,0.601562,0.604687,0.584375,0.594531,0.370671,12480000
2016-06-09,0.594375,0.594531,0.566718,0.588906,0.367164,5875200
2016-06-10,0.586562,0.586562,0.564062,0.574843,0.358396,11347200
2016-06-13,0.572656,0.573593,0.547500,0.548281,0.341835,15449600
2016-06-14,0.548281,0.550156,0.524375,0.544218,0.339302,24364800
